order_id,product_id,quantity,unit_price_usd
1003124,72692,6,46.69
1003124,63985,4,78.79
1003124,75767,2,243.99
1003124,18476,1,11.09
1003124,20074,10,1064.09
1004106,33606,3,285.99
1004106,58241,1,203.99
1008045,63493,1,215.09
1025145,16086,9,36.99
1025145,58650,21,11.09
1025145,81641,18,228.09
1028547,15578,1,78.69
1033452,48510,1,68.99
1033452,64388,19,290.09
1033452,85973,8,177.59
1033452,10023,1,181.29
1034968,66578,1,268.19
1046907,72692,13,46.69
1048228,48996,10,64.79
1049683,80625,1,690.09
1049683,85076,19,893.99
1049683,47437,10,898.99
1049683,64388,24,290.09
1058188,61093,3,240.99
1058188,10621,16,165.19
1066321,66578,1,268.19
1075856,16353,20,105.99
1076222,41515,23,1273.69
1076222,87426,23,180.29
1083956,35273,5,213.19
1083956,64388,20,290.09
1083956,77670,1,244.59
1088137,26740,3,216.59
1088137,80625,10,690.09
1088137,94514,2,254.99
1095901,11575,4,233.29
1095901,35798,10,82.99
1108921,64388,1,290.09
1115997,82664,17,269.69
1116318,20430,2,198.89
1130498,19409,17,67.99
1139714,35273,16,213.19
1139714,98451,18,1292.09
1139714,33606,16,285.99
1145399,46421,23,185.89
1147432,24242,1,116.99
1147432,33935,17,201.99
1147432,80625,10,690.09
1147432,34871,21,6.59
1152297,48996,1,64.79
1166109,36591,18,162.99
1166109,97210,5,241.29
1166109,64279,13,126.39
1166109,86809,22,71.29
1166109,14979,15,582.09
1168862,48289,14,85.59
1181817,21230,13,90.79
1181817,76830,1,210.09
1181817,20430,6,198.89
1181817,66820,16,221.99
1193789,69218,7,184.09
1193789,95646,8,323.09
1195071,78649,3,1059.49
1195071,94612,20,266.79
1195071,35798,13,82.99
1195071,32938,13,1148.89
1219874,39417,1,192.59
1219874,19409,12,67.99
1223455,15578,18,78.69
1251371,37490,17,159.99
1256567,33606,21,285.99
1256567,20054,22,196.99
1256567,35273,1,213.19
1262995,54586,8,98.49
1262995,99654,18,265.39
1287702,52648,2,195.89
1287702,11313,2,78.49
1289868,36224,6,56.09
1295463,48869,9,901.09
1295463,95523,15,82.19
1295992,61311,25,160.19
1297676,53392,6,112.99
1313704,27057,3,353.39
1313704,41515,3,1273.69
1321952,94612,4,266.79
1332610,98451,18,1292.09
1340157,48289,15,85.59
1340157,47437,21,898.99
1346424,13185,5,205.29
1346424,48606,5,391.49
1346424,66452,6,169.99
1350760,97298,4,29.99
1350760,66452,1,169.99
1350760,92839,1,84.09
1354373,11313,1,78.49
1354414,16749,11,231.39
1379567,98451,1,1292.09
1379567,99613,1,287.89
1379567,79564,6,34.99
